Name,RA_deg,Dec_deg,NHI_c,NHI_c_std,NHI_w,NHI_w_std,NHI_u,NHI_u_std,f_c,f_c_std,Tsky,Note,LMC_x
J043855-672153,69.73,-67.36,0.46,0.05,4.26,0.11,0.00,0.00,0.10,0.01,2.73,galaxy,x
J044047-695217,70.20,-69.87,0.38,0.09,0.00,0.00,0.00,0.00,1.00,0.00,2.73,QSO,x
J044056-662423,70.24,-66.41,0.07,0.01,2.79,0.07,0.00,0.00,0.02,0.00,2.73,?,(x)
J044415-684211,71.07,-68.70,4.97,0.86,12.99,0.33,0.00,0.00,0.28,0.03,2.73,"QSO (z=2.54) at 4""",x
J044451-674636,71.21,-67.78,0.41,0.12,11.31,0.19,0.00,0.00,0.04,0.01,2.73,?,(x)
J044710-675049,71.79,-67.85,3.79,0.60,10.79,0.82,0.00,0.00,0.26,0.03,2.73,?,(x)
J044746-704843,71.95,-70.81,0.52,0.12,9.50,0.63,0.00,0.00,0.05,0.01,2.73,?,(x)
J044809-703144,72.04,-70.53,0.12,0.04,6.66,0.58,0.00,0.00,0.02,0.01,3.39,?,(x)
J044902-705155,72.26,-70.87,0.57,0.13,9.93,0.24,0.00,0.00,0.05,0.01,7.19,?,(x)
J044926-691203,72.36,-69.20,14.94,5.27,19.45,0.20,0.00,0.00,0.43,0.09,3.09,"IRAS 04496-6917 = YSO? at 5""",LMC
J044928-692630,72.37,-69.44,13.87,2.68,15.56,0.17,0.00,0.00,0.47,0.05,3.35,?,(x)
J044948-694013,72.45,-69.67,1.34,0.54,14.07,0.20,0.00,0.00,0.09,0.03,3.44,"? (green Spitzer, X-ray)",(x)
J044953-680436,72.47,-68.08,5.94,1.74,14.62,0.21,0.00,0.00,0.29,0.06,2.73,QSO? (green Spitzer),(x)
J045113-693133,72.81,-69.53,9.26,0.84,8.51,0.36,0.00,0.00,0.52,0.02,5.16,"? (yellow-green Spitzer-only at ~11"")",(x)
J045114-693123,72.81,-69.52,15.16,2.14,3.91,0.21,0.00,0.00,0.80,0.02,5.16,?,(x)
J045114-693152,72.81,-69.53,1.72,0.37,15.56,1.02,0.00,0.00,0.10,0.02,5.09,QSO? (green Spitzer),(x)
J045152-692332,72.97,-69.39,13.69,1.05,16.47,0.58,0.00,0.00,0.45,0.02,4.66,YSO / HII (N79A),LMC
J045209-665525,73.04,-66.92,11.08,2.84,20.40,0.45,0.00,0.00,0.35,0.06,4.52,YSO (O3) / HII,LMC
J045220-682306,73.09,-68.39,9.57,3.35,10.04,0.60,0.00,0.00,0.49,0.09,4.53,?,(x)
J045332-704027,73.39,-70.67,0.78,0.25,10.55,0.32,0.00,0.00,0.07,0.02,3.44,QSO or PN (green Spitzer),(x)
J045344-693729,73.44,-69.62,2.09,0.40,11.84,0.93,0.00,0.00,0.15,0.03,3.33,?,(x)
J045354-692131,73.47,-69.36,5.95,2.27,23.84,0.70,0.00,0.00,0.20,0.06,3.48,knot on gas filament?,?
J045403-691154,73.51,-69.20,5.60,2.66,18.49,0.33,0.00,0.00,0.23,0.08,3.83,centre of SFR / HII,(LMC)
J045421-680056,73.59,-68.02,1.44,0.60,8.96,0.45,0.00,0.00,0.14,0.05,3.36,likely QSO,(x)
J045425-691102,73.61,-69.18,4.38,1.83,17.91,0.57,0.00,0.00,0.20,0.07,3.26,YSO?,(LMC)
J045541-690629,73.92,-69.11,5.55,1.28,16.55,0.52,0.00,0.00,0.25,0.04,3.79,?,(x)
J045545-694830,73.94,-69.81,0.72,0.12,3.81,0.13,0.00,0.00,0.16,0.02,5.04,QSO? (green Spitzer),(x)
J045551-690210,73.96,-69.04,1.73,0.40,16.73,0.81,0.00,0.00,0.09,0.02,3.72,likely radio galaxy (X-ray),x
J045603-693332,74.01,-69.56,2.08,0.42,8.06,0.18,0.00,0.00,0.21,0.03,3.90,"not radio galaxy (z=1.319) at 21.5"", but faint X-ray?",(x)
J045608-701434,74.04,-70.24,6.36,0.70,1.85,0.16,0.00,0.00,0.77,0.02,4.38,radio galaxy? (green Spitzer),(x)
