Name,TB_WNM,TB_WNM_std,velocity_TB,velocity_TB_std,fwhm,fwhm_std,T_k_max,NHI_w,NHI_w_std,F
J043855-672153,9.33,0.19,249.88,0.14,23.50,0.36,12080,4.26,0.11,1.0
J044056-662423,3.55,0.06,249.78,0.34,40.49,0.76,35857,2.79,0.07,0.0
J044415-684211,18.52,0.32,244.81,0.11,29.35,0.26,18838,10.55,0.21,0.0
J044415-684211,13.17,1.09,240.64,0.25,9.56,0.58,1997,2.44,0.25,0.0
J044451-674636,19.64,0.22,254.62,0.19,28.13,0.30,17297,10.72,0.17,0.0
J044451-674636,4.45,0.40,266.71,0.24,6.81,0.76,1014,0.59,0.08,0.5
J044710-675049,7.99,1.56,267.76,2.49,17.24,2.45,6499,2.67,0.65,1.0
J044710-675049,11.44,0.12,234.73,0.18,19.53,0.41,8336,4.34,0.10,0.0
J044710-675049,16.36,1.96,254.41,0.49,11.92,0.65,3108,3.79,0.50,0.5
J044746-704843,23.06,1.05,237.34,0.13,16.68,0.55,6086,7.47,0.42,1.0
J044746-704843,3.07,0.55,252.08,4.51,34.14,4.79,25483,2.03,0.46,1.0
J044809-703144,3.86,0.56,251.74,0.83,46.68,2.01,47641,3.49,0.53,0.0
J044809-703144,8.80,0.33,237.72,0.12,10.99,0.47,2640,1.88,0.11,1.0
J044809-703144,3.78,0.45,263.26,0.54,17.54,1.69,6727,1.29,0.20,1.0
J044902-705155,23.59,0.34,239.17,0.07,15.17,0.20,5030,6.94,0.14,0.5
J044902-705155,3.46,0.20,248.52,0.83,44.48,1.45,43261,2.98,0.20,0.0
J044926-691203,42.84,0.39,239.79,0.04,23.40,0.11,11969,19.45,0.20,0.0
J044928-692630,32.61,0.30,239.14,0.07,24.59,0.16,13218,15.56,0.17,0.0
J044948-694013,19.90,0.28,239.54,0.05,11.65,0.18,2967,4.50,0.09,0.0
J044948-694013,13.32,0.21,242.40,0.11,37.03,0.33,29989,9.57,0.18,0.0
J044953-680436,5.36,0.16,233.33,0.45,17.58,0.96,6754,1.83,0.11,0.0
J044953-680436,32.57,0.31,257.74,0.11,20.25,0.21,8966,12.80,0.18,1.0
J045113-693133,5.66,0.31,244.36,0.62,49.95,1.24,54547,5.49,0.33,1.0
J045113-693133,17.31,0.39,237.17,0.12,8.99,0.37,1768,3.02,0.14,1.0
J045114-693123,2.32,0.24,273.38,0.86,15.64,2.11,5350,0.70,0.12,0.0
J045114-693123,9.36,0.29,221.89,0.38,17.65,0.76,6810,3.20,0.17,0.0
J045114-693152,8.02,0.64,250.80,0.28,8.02,0.66,1406,1.25,0.14,0.5
J045114-693152,18.89,0.83,237.01,0.29,25.47,0.94,14190,9.34,0.53,1.0
J045114-693152,5.02,0.83,243.16,0.99,51.14,2.47,57188,4.98,0.86,1.0
J045152-692332,10.19,0.63,248.03,0.85,40.24,0.77,35411,7.96,0.51,1.0
J045152-692332,28.36,0.69,245.98,0.11,15.46,0.30,5229,8.51,0.26,1.0
J045209-665525,9.79,0.41,272.14,0.29,39.39,0.70,33922,7.48,0.34,0.0
J045209-665525,45.92,0.64,278.75,0.15,14.50,0.26,4600,12.92,0.29,1.0
J045220-682306,25.69,1.01,264.67,0.12,10.16,0.27,2257,5.06,0.24,0.5
J045220-682306,6.88,0.70,253.96,0.47,37.25,1.49,30335,4.97,0.54,0.0
J045332-704027,15.89,0.47,248.51,0.35,17.85,0.47,6966,5.50,0.22,1.0
J045332-704027,11.89,0.28,229.73,0.58,21.86,0.87,10450,5.04,0.23,0.5
J045344-693729,4.62,0.76,249.96,1.37,54.28,3.19,64414,4.87,0.85,0.5
J045344-693729,12.97,0.53,229.55,0.16,16.00,0.50,5599,4.03,0.21,1.0
J045344-693729,9.71,0.72,255.14,0.36,15.61,1.01,5331,2.94,0.29,1.0
J045354-692131,14.17,0.92,236.85,0.21,14.18,0.73,4397,3.90,0.32,0.0
J045354-692131,33.56,0.98,239.75,0.11,30.62,0.31,20500,19.94,0.62,1.0
J045403-691154,35.58,0.55,244.01,0.08,26.78,0.24,15677,18.49,0.33,0.0
J045421-680056,17.82,0.76,258.31,0.16,12.74,0.52,3552,4.41,0.26,1.0
J045421-680056,7.53,0.57,256.88,0.21,31.15,0.91,21210,4.55,0.37,0.0
J045425-691102,16.74,0.74,245.81,0.20,33.19,0.50,24093,10.78,0.50,0.0
J045425-691102,23.55,0.66,241.89,0.10,15.59,0.40,5317,7.12,0.27,0.0
J045541-690629,19.38,0.41,251.21,0.21,30.57,0.26,20439,11.50,0.26,1.0
J045541-690629,21.51,1.37,244.07,0.51,12.11,0.73,3208,5.06,0.44,0.5
J045545-694830,3.78,0.14,221.34,0.33,17.92,0.78,7020,1.32,0.08,0.0
J045545-694830,8.85,0.28,258.55,0.19,14.53,0.37,4615,2.50,0.10,1.0
J045551-690210,11.33,1.52,245.43,0.28,15.43,1.11,5203,3.39,0.52,0.5
J045551-690210,26.62,1.20,254.33,0.48,25.81,0.34,14569,13.34,0.62,0.5
J045603-693332,4.65,0.30,219.92,0.22,7.62,0.61,1269,0.69,0.07,0.0
J045603-693332,8.88,0.13,239.95,0.39,42.75,0.75,39966,7.37,0.17,1.0
J045608-701434,5.24,0.37,229.45,0.43,18.21,0.83,7251,1.85,0.16,1.0
J045618-684948,10.69,0.38,256.74,0.21,32.37,0.61,22907,6.71,0.27,0.0
J045730-731750,4.55,0.15,265.08,0.31,14.69,0.69,4722,1.30,0.07,1.0
J045730-731750,8.23,0.11,240.77,0.23,24.04,0.58,12642,3.84,0.11,0.0
J045746-691937,10.35,0.56,241.48,0.22,28.26,0.72,17460,5.68,0.34,0.5
J045746-691937,15.35,0.59,239.30,0.10,10.48,0.44,2402,3.12,0.18,0.5
J045837-671243,11.38,0.24,268.56,0.31,32.95,0.39,23741,7.27,0.18,0.5
J045837-671243,12.80,0.34,278.63,0.15,12.28,0.37,3299,3.05,0.12,0.5
J045954-710737,4.33,0.19,232.48,0.45,21.54,1.00,10149,1.81,0.12,0.5
J050050-680345,12.13,0.97,239.05,0.37,10.94,1.06,2617,2.58,0.32,0.5
J050050-680345,11.00,0.58,247.63,0.46,31.36,0.74,21505,6.69,0.39,0.0
J050200-693158,9.95,0.29,238.70,0.24,20.46,0.52,9154,3.95,0.15,0.0
J050214-655037,28.77,0.23,277.76,0.08,23.69,0.16,12274,13.23,0.14,0.0
J050227-655711,18.29,0.86,278.29,0.10,30.02,0.50,19712,10.66,0.53,0.0
J050227-655711,30.35,0.80,278.56,0.06,14.02,0.27,4299,8.26,0.27,1.0
J050258-675802,15.63,0.28,249.94,0.14,25.20,0.44,13885,7.65,0.19,0.0
J050258-675802,7.26,0.25,274.28,0.16,9.43,0.40,1946,1.33,0.07,0.0
J050411-670107,34.94,0.15,272.18,0.05,24.58,0.14,13208,16.66,0.12,1.0
J050411-670107,4.49,0.14,244.55,0.31,16.29,0.72,5800,1.42,0.08,1.0
J050413-700456,14.70,0.45,234.81,0.33,23.31,0.60,11881,6.65,0.26,1.0
J050438-705441,12.57,0.37,237.40,0.22,17.02,0.39,6333,4.15,0.15,0.0
J050501-664516,31.82,0.70,282.30,0.07,10.31,0.19,2325,6.37,0.18,0.5
J050501-664516,4.20,0.27,257.35,1.78,36.91,2.09,29788,3.01,0.26,0.0
J050527-705358,21.42,0.46,234.67,0.10,19.16,0.35,8023,7.96,0.22,0.5
J050527-705358,2.70,0.45,225.92,1.86,42.49,2.74,39474,2.22,0.40,1.0
J050529-665556,22.22,0.67,279.07,0.13,16.77,0.45,6151,7.23,0.29,0.5
J050529-665556,12.85,0.58,271.75,0.39,35.38,0.54,27366,8.82,0.42,0.0
J050531-655517,23.83,0.38,282.80,0.06,10.82,0.19,2562,5.00,0.12,0.0
J050531-655517,7.21,0.31,285.10,0.45,36.17,1.15,28607,5.06,0.27,0.0
J050531-655517,2.45,0.15,250.21,0.75,19.74,1.67,8517,0.94,0.10,0.0
J050536-700512,10.08,0.63,225.44,0.31,29.34,0.84,18826,5.74,0.40,0.0
J050536-700512,13.67,0.85,228.22,0.39,10.65,0.86,2480,2.83,0.29,0.0
